,content,sentiment
116,"To keep a relationship, you must keep your business to yourself and your partner, The whole world doesnt need to know your problems.",angry
117,If your are still hate me!then No Problem!.,angry
118,"Problem is not a problem, but problem is that,is your attitude towards the problem.",angry
119,"Girls are like parking spaces, all the good ones are already taken.",angry
120,Seeing your ex go through what they put you through.. Priceless.,angry
121,"Stop asking for faithful girls, when you are too busy chasing hoes.",angry
122,The only difference between a good day and a bad day is your attitude.,angry
123,"I don't trust easily. So when I tell you that ""I trust you"", please don't make me regret it.",angry
124,"I'm Not a Tumblr Girl, But I'm Beautiful",angry
125,To all the girls that say gentlemen don't exist anymore: They do exist but gentlemen are attracted to ladies. Not sluts.,angry
126,"Don't even try and judge me dude,You have no idea what the Fuck I've been through.",angry
127,"If you want me let me know. If you don't, please gently let me go.",angry
128,"Putting in headphones, to avoid people's bullshit.",angry
129,i am scared to see you with someone else.,angry
130,Silence is the best way to react while angry.,angry
131,I hate the moment when suddenly my anger turns into tears.,angry
132,Some things can never be forgotten and nor forgiven.,angry
133,There are no words to describe the anger and frustration that I am feeling right now.,angry
134,Don't make so many promises when you can't even keep one.,angry
135,"Sometimes i’m not angry, i’m hurt and there’s a big difference.",angry
136,"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleaneses the heart..",angry
137,"If I delete your number, you’re basically deleted from my life.",angry
138,Getting angry is actually punishing yourself with the mistakes of others.,angry
139,Some people never realise the emotional and mental damage they do to others.,angry
140,"Your mistake is letting me go, my mistake was letting you in.",angry
141,"Nobody makes you angry, you decide to use anger as a response.",angry
142,The same person who said the sweetest things to me also said some of the meanest things I've ever heard.,angry
143,"Never forget what someone says to you when they are angry, because that’s when the truth comes out",angry
144,"When we don’t know who to hate, we hate ourselves.",angry
145,Some people need to open their small minds instead of their big mouths.,angry
146,Anger is a feeling that makes your mouth work faster than your mind.,angry
147,"When you are angry, your text speed increases by a ridiculous amount.",angry
148,For every minute you are angry….. you lose sixty seconds of happiness… Think about It,angry
149,It sucks when you realize you rejected other people for that one person who wasted your time.,angry
150,"Anger is our natural deffense against pain. So when i say i hate you, it really means you hurt me.",angry
151,"Everything is getting expensive except some people, they are getting cheaper…",angry
152,Anger is poison. You must purge it from your mind or else it will corrupt your better nature.,angry
153,They say milk is good for your teeth. You know what else is good for your teeth? Minding your own damn business.,angry
154,"Anger makes you smaller, while forgiviness forces you to grow beyond what you were..",angry
155,"['Hating Me Won’T Make You Pretty.', 'Anger Is One Letter Short Of Danger.', 'I Am If I Changed, But You Changed Too.', 'Anger Is My Power So Don’t Make Me Angry.', 'Even The Nicest People Have Their Limits.', 'Whatever Is Begun In Anger Ends In Shame.', 'Don’T Make Me Angry And Change Your Status.', 'Silence Is The Best Way To React While Angry. ( Angry Whatsapp Status\xa0', 'I Hope Karma Slaps You In The Face Before I Do.', 'An Angry Man Opens His Mouth And Shuts His Eyes.', 'I Am Not In A Bad Mood, Everyone Is Just Annoying.', 'A Quick Temper Will Make A Fool Of You Soon Enough.', 'Yes I Am Smiling But You Are Not The Reason Anymore.', 'My Attitude Will Always Be Based On How You Treat Me.', 'You Blocked Me On Facebook & Noe You’Re Going To Die.', 'Anger Tears Me Up Inside…My Own…Or Anyone Else’S. (\xa0Angry\xa0Quotes\xa0', 'You Should Make A Woman Angry If You Wish Her To Love.', 'Sometimes I’M Not Angry. I’M Hurt And There’S A Big Diff.', 'Never Go To Bed Angry, Stay Awake And Plot Your Revenge.', 'It’S Easier To Say You’re Mad Than To Admit You’Re Hurt.', 'Don’T Make So Many Promises When You Can’T Even Keep One.', 'We Met For A Reason, Either You’Re A Blessing Or A Lesson.', 'I Hate The Moments When Suddenly My Anger Turns Into Tears.', 'Tell The Truth, Or Eventually Someone Will Tell It For You. (\xa0Angry Status\xa0', 'Its Just A Chapter In Your Life, Turn The Page And Move On.', 'When People Get Angry With Him, I Remind Them That He’S Kid.', 'If Someone Is Angry With You And You Laugh At Them, You Win.', 'Nobody Makes You Angry. You Decide To Use Anger As A Response.', 'I Miss You That True But It Doesn’t Mean I Forget Your Lies.', 'The Best Revenge Is To Be Unlike Hi Who Performed The Injury.', 'Anger Is Never Without A Reason, Butt Seldom With A Good One.', 'If I Delete Your Number, You’Re Basically Deleted For My Life. (\xa0Angry Whatsapp Status\xa0', 'Don’T Judge Someone Just Because They Sin Differently Than You.', 'People Change. Things Go Wrong. Shit Happens. But Life Goes On.', 'Anger Is Feeling That Make Your Mouth Work Faster Than Your Mind.', 'Don’T Be Angry With People Who Don’T Have The Capacity To Change.', 'All Angry Persons Are To Be Treated, By The Prudent, As Children.', 'When U Are Angry, Ur Text Speed Increases By A Ridiculous Amount.', 'If You Wake Me Up & I Don’T Get Angry, You Must Be Pretty Special.', 'Control Your ” Anger “. It Is Just One Letter Away From “D” Anger.\xa0( Angry Whatsapp Status\xa0', 'For Every Minute You Are Angry You Lose Sixty Seconds Of Happiness.', 'Anger Is A Condition In Which The Tongue Works Faster Than The Mind.', 'I Don’T Need Anger Management, I Need People To Stop Pissing Me Off.', 'Unless I Am Sitting On Your Face My Weight Is None Of Your Business!', 'People Won’T Have Time For You If You Are Always Angry Or Complaining.', 'Just Because You’Re Angry, Doesn’T Mean You Have The Right To Be Cruel.', 'Sometimes I Get To The Point Of Frustration, That I Just Become Silent.', 'Some People Need To Open Their Small Minds Instead Of Their Big Mouths.', 'When I’M Shouting, Your Fine. It’S When I Go Silent You Need To Worried.\xa0(\xa0Anger Status for Whatsapp\xa0', 'Anger Is Nothing Than An Outward Expression Of Hurt, Fear & Frustration.', 'Never Do Anything When U Are In A Temper, For U Will Do Everything Wrong.', 'Never Regret Anything, Because At One Time It Was Exactly What You Wanted.', 'Sometimes I Feel Like Giving People A High-Five In That Face, With A Chair.', 'Six Letters, Two Words, Easy To Say, Hard To Explain, Harder To Do. Move On.', 'You Will Not Be Punished For Your Anger, You Will Be Punished By Your Anger.', 'Holding On To Anger Is Like Drinking Poison And Expecting The Person To Die. ( Angry Whatsapp Status\xa0', 'No Matter How Angry You Get, You Always End Up Forgiving The People You Love.', 'Life Is Too Short To Spend Time With People Who Suck The Happiness Out Of You.', 'Anger Doesn’T Solve Anything. It Build Nothing, But It Can Destroy Everything.', 'Anger Doesn’T Solve Anything. It Builds Nothing, But It Can Destroy Everything.', 'I’M Sorry I Got Angry And Said A Lot Of Things I Mean But Shouldn’T Have Said.', 'If You’Re Going To Talk About Me Behind My Back, Don’T Smile At Me To My Face !', 'If Another Can Easily Anger You, It Is Because You Are Off Balance With Yourself.', 'Speak When You Are Angry And You Will Make The Best Speech You Will Ever Regret.', 'Smile……It Will Either Warn Their Heart, Piss Them Off….Either Way You Win ! ( Angry Whatsapp Status\xa0', 'Anger Makes You Smaller, While Forgiveness Forces You To Row Beyond What You Were.', 'Never Make A Decision When You Are Angry. Never Make A Promise When You Are Happy.', 'Stop Telling Me To Stay Calm. You’Re The One Who Pissed Me Off In The First Place.', 'Definition Of Ex: Thanks For The Experience. Our Time Has Expired. Now Exit My Life.', 'Listen To People When They Are Angry, Because That Is When The Real Truth Comes Out.', 'I Think That Stupid People Were Put On This Planet To Test My Anger Management Skills.', 'No One Will Ever Understand What I Mean Even If I Pour My Heart Into Words And Scream.\xa0(\xa0Angry Quotes for Relationship\xa0', 'I Wouldn’t Have To Manager My Anger, If People Could Learn To Manager Their Stupidity.', 'You Never Apologized For Hurting Me, But I Say Sorry  Times For Being Angry About It.', 'Don’T Waste You Time On Revenge. Those Who Hurt You Will Eventually Face Their Own Karma.', 'Anger Hurts You, Not The Person You’Re Angry At. Don’T Waste Life Getting Mad All The Time.', 'Our Days Are Happier When We Give People A Bit Of Our Heart Rather Than A Piece Of Out Mind.', 'The World Need Anger. The World Often Continues To Allow Evil Because It Isn’T Angry Enough.', 'Sometimes We Forgive Not Because We Are Wrong But Because Staying Angry Robs Us Of Happiness.', 'If You Don’T Know Your Own Worth And Value, Don’T Expect Someone Else To Calculate It For You.\xa0(\xa0Angry Status for Whatsapp\xa0', 'Don’T Change So People Will Like You. Be Yourself And The Right People Will Love The Real You.', 'A Woman Who Truly Loves You Will Be Angry At You For So Many Things, But Will Never Leave You.', 'Anger Is Great Force. If You Control It, It Can Transmuted Into A Power Can Moe The Whole World.', 'Never Forget What Someone Says To You When They’Re Angry Because That Is When The Truth Comes Out.', 'I Can Forgive A Lot Of Things…But Lies Aren’T One Of Them…So I Hope You Choke On The Lies You Told', 'If Someone Throws A Stone At You, Throw A Flower At Them. But Remember To Throw Flower Pot With It.', 'If You Tell The Truth, It Becomes A Part Of Your Past. If You Lie, It Becomes A Part Of Your Future.\xa0(\xa0Angry Love Quotes\xa0', 'People Say Everything Happens For A Reason. So When I Punch You In The Face, Remember I Have A Reason.', 'I Don’T Want To Hurt You Or Anybody So Please Forget About Me. Just Try. Find Yourself A Better Friend.', 'The More Anger You Hold Towards The Past In Your Heart, The Less Capable You Are Of Loving The Present.', 'Sometimes One Middle Finger Isn’T Enough To Let Someone Know How You Feel. That’S Why You Have Two Hands.', 'A Fake Friend Calls When They Need Something. A Real Friend Calls To Ask If You’Re In Need Of Something.', 'My Hate For You Is Undying & It Will Never Pause. Just Like How Much My Love For You Once Was. I Hate You. ( Angry Whatsapp Status\xa0', 'I Hate That I Cry I’M Frustrated Because People Think I’M Hurt When I’M Really Just Trying Not To Kill You.', 'Make You Anger So Expensive That No Can Afford It & Make Your Happiness So Cheap That Can Almost Get It Free.', 'I Will Not Delete You Or Block You. I Am Keeping You There So You Will Be Able To See How Happy I’M Without You.', 'I’M Sad, Hurt, Angry, Disappointed. But You Know What ? I’Ll Put On A Smile And Move On. But Will Hurt, But I Will Survive.', 'Anger Won’T Make Your Problems Easier. Tears Won’T Bring Back What Is Gone. But A Smile And Gratitude Will Make You Stronger.', 'Never Get Jealous Or Angry When You See Your Ex With Someone Else, Because Our Parents Taught Us To Give Out Used Toys To The Less Fortunate.', 'A Person Who Has Lots Of Anger Inside, Definitely Loves People More Than Anyone Else Can. Because If Red Colour Indicates Anger Than It Indicates Love Too. ( Angry Whatsapp Status\xa0']",angry
156,I Forgive But Never Forgot.,angry
157,I May Be Wrong. But I Doubt It.,angry
158,Nobody Move. I Just Lost My Mind.,angry
159,I Am Hot Dude With A Cool Attitude.,angry
160,Sorry Vegetarians We Can’T Pretend.,angry
161,Follow Your Heart But Don;T Be Stupid.,angry
162,My Attitude Based On How You Treat Me.,angry
163,I Not Perfect But I Am Limited Addition.,angry
164,I’M Cool But Global Warming Made Me Hot.,angry
165,Stop Checking My Status ! Go Get A Life!,angry
166,I’M Not Nerd. I Am Just Smarter Than You.,angry
167,I’M Sorry If I Change But You Changed Too.,angry
168,I Am Who I Am. Your Approval Is Not Needed.,angry
169,"I’M Not Special , I’M Just Limited Edition.",angry
170,Your Silence Is The Best Response To A Fool.,angry
171,I Am Me And I Won’T Change Myself For Anyone.,angry
172,Don’T Take My Kindness As A Sign Of Weakness.,angry
173,Excellence Is Not A Skill. It Is An Attitude.,angry
174,Everything That Kills Me Makes Me Feel Alive.,angry
175,I’M Sorry My Fault. I Forgot You’Re An Idiot.,angry
176,I’M Poor. I Can’T Pay Attention In Class Room.,angry
177,"Before You Judge Me, Make Sure You Are Perfect.",angry
178,You Attitude May Hurt Me But Mine Can Kill You.,angry
179,"Yeah You – The One Reading My Status, Get Lost!",angry
180,Don’T Copy My Attitude Because It’S My Attitude.,angry
181,"When I’M Good I’M Best , When I’M Bad I’M Worst.",angry
182,Hurt Me With Truth But Never Comfort Me With Lie.,angry
183,The Biggest Slap To Your Enemies Is Your Success.,angry
184,You Say I Dream Too Big. I Say You Think To Small.,angry
185,Don;T Show Me Ur Attitude As You Can’T Handle Mine.,angry
186,"I Don’T Have A Bad Handwriting, I Have My Own Font.",angry
187,My Attitude Will Always Be Based On How You Treat Me.,angry
188,I Never Insult People I Only Tell Them What They Are.,angry
189,My Level Of Maturity Changes Depending On Who I’M With.,angry
190,Attitude Is A Little Thing That Makes A Big Difference.,angry
191,I Allow Myself To Be Badass Confident In All That I Do.,angry
192,Style Is A Reflection Of Your Attitude And Personality.,angry
193,You Are A Designer Of Your Own Destiny. Make It Better.,angry
194,"I may win and I may lose, but I will never be defeated.",angry
195,"If You Think I Am Bad Than You’Re Wrong, I’M The Worst.",angry
196,"I Know I Am Awesome, So I Don’T Care About Your Opinion.",angry
197,I Don’T Need To Explain Myself Because I Know I’M Right.,angry
198,"People May Hear Your Words, But They Feel Your Attitude.",angry
199,My “Last Seen At” Was Just To Check Your “Last Seen At”.,angry
200,The Best Way To Destroy An Enemy Is To Make Him A Friend.,angry
201,Me And My Wife Live Happily For  Years And Then We Met…,angry
202,I Wish I Had Google In My Mind And Antivirus In My Heart.,angry
203,I’M Not Changed It’S Just I Grew Up And You Should Try Too.,angry
204,Fake People Have Image To Main. Real People Just Don’T Care.,angry
205,"Of Course, I Talk To Myself, Sometimes I Need Expert Advice.",angry
206,Life Is Too Short. Don’T Waste It Removing Pen Drive Safely.,angry
207,"Life Will Give You Exactly What You Need, Not What You Want.",angry
208,"If you are currently in Anger Mood then Read These Wonderful Collection of Feeling Angry Status in English Quotes. Latest Angry Status in English for Whatsapp & Facebook. Get Best Feeling Very Angry Status in English for Boyfriend, Girlfriend, Husband, Wife, Boy",angry
209,Some People Need to Open Their Small Minds Instead Of Their Big Mouths.,angry
210,"People Change, Things Go Wrong, Shit Happens, But Life Goes On.",angry
211,"Don’T Try To Please Other People If In The End, You Know It Wont Work.",angry
212,"When You Stopped Believing In Me, I Did Too.",angry
213,It Takes A Lot Of Energy To Get Angry. I Don’t Care To Use My Energy That Way.,angry
214,It Takes A Lot Of Energy To Get Angry. I Don’T Care To Use My Energy That Way.,angry
215,"I May Look Calm, But In My Head I’ve Killed You About 5 Times.",angry
216,Sometimes I’M Just Not In The Mood To Talk.,angry
217,"If I Delete Your Number, You’Re Basically Deleted From My Life.",angry
218,"Go Ahead, Judge Me. Just Remember To Be Perfect For The Rest Of Your Life!!",angry
219,I Wouldn’t Have To Manage My Anger If People Could Learn To Manage Their Stupidity.,angry
220,"In this specific angry status article, I have included all the latest awesome collection of best feeling angry status in English. Which you can share with your friends, girlfriend, boyfriend, wife and husband. We have the Collection of Best Feeling Angry Status in English for Boys. Also we have separate collection of Feeling Angry Status in English for Girls. If you want to express your feelings in terms of anger you can express your anger in a very special way by forwarding this wonderful Angry Status in English to your Boyfriend, Girlfriend, Wife, Husband, Friends.",angry
221,"I Will Not Delete You Or Block You. I Am Keeping You There So, You Will Be Able To See How Happy I’M Without You.",angry
222,It Sucks When You Realise You Rejected Other People. For That One Person Who Wasted Your Time.,angry
223,"Don’T Be So Happy, I Don’T Really Forgive People, I Just Pretend Like It’S OK And Wait For My Turn To Destroy Them.",angry
224,"I’M The Person That The More You Complain About Me, The Harder I’Ll Try To Annoy You.",angry
225,Best One Line Angry Status for Whatsapp in English,angry
226,Some People Never Realise The Emotional And Mental Damage They Do To Others.,angry
227,You Should Have Two Facebook Accounts. One For Each Face.,angry
228,I Would Not Have To Manage My Anger If People Would Manage Their Stupidity.,angry
229,Don’t Put Words Into My Mouth. I Have Got Plenty To Say.,angry
230,"Don’t Tell Me How To Live My Life, I Do Things My Way.",angry
231,"I Would Not Have To Manage My Anger, If People Would Manage Their Stupidity.",angry
232,"Everything Is Getting Expensive Except, Some People They Are Getting Cheaper.",angry
233,Are you searching for Very Angry Whatsapp Status in English? You have reached at the right place! You might be aware about the Feelings. Everyone feels anger and everyone wants to share their feelings and thoughts in words. But unfortunately can’t find proper words to express feelings and thoughts. In this article I have shared most wonderful collection of Feeling Very Angry Status in English for Whatsapp and Facebook. You can also share your feelings in comment box by in the form of words of Feeling Very Angry Status in English Fonts for Facebook and Whatsapp.,angry
234,Get the Latest Wonderful Collection of Feelings Angry Status in English. All these type of Status are the representation of your Anger once you Get Angry on your loved ones.,angry
235,"You Can’T Trust Anybody These Days, You Think You Have A Good Friend Till You.",angry
236,Turn Around And Realize They Have The Knife 6 Inches Deep In Your Back.,angry
237,Definition of EX: Thanks for the experience.,angry
238,Our time has expired. Now exit my life.,angry
239,"My silence doesn’t mean that I quit.. It simply means that, I don’t want to argue with people who just don’t want to understand.!",angry
240,"For every minute you remain angry, you give up sixty seconds of peace of mind.",angry
241,"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleanness the heart.",angry
242,"If you’re going to talk about me behind my back, don’t smile at me to my face!.",angry
243,"Anger is an acid that can do more harm to the vessel in which, it is stored than to anything on which it is poured.",angry
244,As soon as you set your status on whatsapp or Facebook by using our Best Angry Status in English for Boyfriend and Girlfriend people will come to know that what exactly you are feeling right this moment. If they care for you they will ask about the reason behind your anger. This Best Angry Status in English for Boyfriend or Girlfriend could be the mirror of your heart. In this post you will get Best Angry Status Quotes for Fb you can use them whenever you get angry on someone.,angry
245,Never make yourself feel like nothing to make someone else feel like everything.,angry
246,"Never forget what someone says to you when they are angry, because that’s when the truth comes out.",angry
247,Anger repressed can poison a relationship as surely as the cruelest words.,angry
248,"Anger is never without a reason, but seldom with a good one.",angry
249,"Anger is not bad. Anger can be a very positive thing, the thing that moves us beyond the acceptance of evil.",angry
250,"Anger is a great force. If you control it, it can be transmuted into a power, which can move the whole world.",angry
251,Usually in everyday life we have to deal with certain scenario when we are irritated due to certain situation as well as some problems. I understand at that time we feel seriously awful and also can’t get any specific clue how to handle it and even exactly what to show.,angry
252,"In this kind of situation, such angry status for whatsapp will allow you to show your feelings and thoughts. Right here you can get an array of Angry Whatsapp Status in English.",angry
253,The embarrassment after the anger is biggest humiliation a person can experience.,angry
254,"The strong man is not the good wrestler, the strong man is, only the one who controls himself when he is angry.",angry
255,"Angry? Take a deep breath before you speak, because your mouth acts quicker than your brain.",angry
256,Some people never realize the emotional and mental damage they do to others.,angry
257,"When you ask someone if you over reacted, then that’s your heart telling your mind that it was a stupid decision.",angry
258,"Never do anything when you are in a temper, for you will do everything wrong.",angry
259,A moment of patience in a moment of anger saves a thousand moments of regret.,angry
260,"I don’t have a short temper I just have a low tolerance for, stupidity, immaturity and ignorance.",angry
261,"All angry persons are to be treated, by the prudent, as children.",angry
262,Anger is a condition in which the tongue works faster than the mind.,angry
263,"I just don’t care if anyone doesn’t like me, I wasn’t put on earth to entertain everyone.",angry
264,"A fool gives full vent to his anger, but a wise man keeps himself under control.",angry
265,"No matter how long you know someone, they eventually show their true colors.",angry
266,Second chances are only meant for those who learned from the first time.,angry
267,"If you are patient in one moment of anger, you will escape a hundred days of sorrow.",angry
268,Two things a man should never be angry at. What he can help… and what he cannot help.,angry
269,The worst tempered people.  I’ve ever met were people who knew they were wrong.,angry
270,You think that you have damaged me but really you just made me that much more stronger.. Thank You!!,angry
271,"Do not teach your children never to be angry, teach them how to be angry.",angry
272,It’s tough when the people you care about the most are the ones who make you feel the worst.,angry
273,Tired of waking up everyday and putting on a stupid fake smile and lying to the world.,angry
274,"Stop being so negative, go see a psychiatrist or something Facebook is for happy people.",angry
275,"Anger makes you smaller, while forgiveness forces you to grow beyond what you were.",angry
276,"People change, things go wrong, shit happens, but life goes on.",angry
277,I have no nationality – the best possible status for an intellectual.,angry
278,"Don’t try to please other people if in the end, you know it wont work.",angry
279,For every Minute you are angry you loose sixty seconds of happiness.,angry
280,Education is the powerful weapon to chance the world.,angry
281,"Life is simple, people are complicated.",angry
282,"Beware, I’m not in my greatest mood today.",angry
283,Anger is just one letter short of DANGER!!!.,angry
284,Never go to bed mad. Stay up and fight.,angry
285,Sometimes you just wanna give people a high five to the face.,angry
286,"By God, there’s a lot to make you angry.",angry
287,Telling someone to calm down just makes them so much more angry.,angry
288,"I’ve tried and tried and now I give up. I refuse to be the perfect friend, to people that cant treat me with the same respect.",angry
289,It Is Clear That You Have Lost Your Importance From Their Life…!!!,angry
290,Follow your heart and see where you land.,angry
291,Don’T Make So Many Promises When You Can’T Even Keep One.,angry
292,There Is No Excuse For Cheating In A Relationship.,angry
293,"I Don’T Regret My Past. I Just Regret The Time, I Have Wasted With The Wrong People.",angry
294,Some Things Can Never Be Forgotten And Nor Forgiven.,angry
295,"The More I Get To Know Guys, The More I Like Dogs.",angry
296,"I Don’T Need To Manage My Anger, People Need To Manage Their Stupidity.",angry
297,"I Just Don’T Care If Anyone Doesn’t Like Me, I Wasn’t Put On Earth To Entertain Everyone.",angry
298,"I Told You I Needed You, You Told Me The Same. I Wasn’t Lying, So Why Didn’t You Tell The Truth?",angry
299,"My Life, My Choices, My Problems, My Mistakes, My Lessons. Not Yours.",angry
300,Some Friends Are Like Pennies. Two-Faced & Worthless.,angry
301,"Business, Mind Your Own Problems Before You Talk About Mine.",angry
302,"Never Get Into Fights With Ugly People, They Have Nothing To Lose.",angry
303,"When You Are Angry, Your Text Speed Increases By A Ridiculous Amount.",angry
304,"Actions Speak Louder Than Words, Your Words Don’T Mean Anything To Me. When Your Actions Are Telling Me Different.",angry
305,Definition Of Ex: Thanks For The Experience. Our Time Has Expired. Now Exit My Life.,angry
